LP DATA SID BETTER WORSE
en-cs newstest2017 343 CU-Chimera.4886 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 343 online-B.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 343 PJATK.4761 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 343 CU-Chimera.4886 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 343 tuning-task-afrl_4gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 343 PJATK.4761 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 343 CU-Chimera.4886 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 343 online-B.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 2918 online-B.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 348 tuning-task-ufal_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 348 tuning-task-ufal_4gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 348 tuning-task-afrl_8gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 348 LIUM-FNMT.4852 LIUM-NMT.4947
en-cs newstest2017 348 tuning-task-ufal_4gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 348 LIUM-FNMT.4852 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 348 tuning-task-afrl_8gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 348 tuning-task-denisov_4gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 348 LIUM-FNMT.4852 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 348 tuning-task-afrl_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 349 uedin-nmt.4956 PJATK.4761
en-cs newstest2017 349 uedin-nmt.4956 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 349 uedin-nmt.4956 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 349 tuning-task-ufal_4gb.sgm.0 PJATK.4761
en-cs newstest2017 349 tuning-task-ufal_4gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 349 tuning-task-ufal_4gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 349 online-A.0 PJATK.4761
en-cs newstest2017 349 CU-Chimera.4886 PJATK.4761
en-cs newstest2017 349 LIUM-NMT.4947 PJATK.4761
en-cs newstest2017 349 tuning-task-afrl_8gb.sgm.0 PJATK.4761
en-cs newstest2017 349 online-A.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 349 tuning-task-denisov_4gb.sgm.0 PJATK.4761
en-cs newstest2017 349 CU-Chimera.4886 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 349 tuning-task-afrl_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 349 LIUM-NMT.4947 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 349 online-A.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 349 tuning-task-baseline_8gb.sgm.0 PJATK.4761
en-cs newstest2017 349 CU-Chimera.4886 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 349 tuning-task-afrl_8gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 349 LIUM-NMT.4947 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 1653 tuning-task-afrl_4gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 594 online-B.0 online-A.0
en-cs newstest2017 594 online-B.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 594 tuning-task-afrl_4gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 594 tuning-task-afrl_4gb.sgm.0 online-A.0
en-cs newstest2017 594 tuning-task-afrl_4gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 2318 online-A.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2318 online-A.0 online-B.0
en-cs newstest2017 2318 online-A.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 2318 online-A.0 LIUM-FNMT.4852
en-cs newstest2017 2319 tuning-task-ufal_4gb.sgm.0 uedin-nmt.4956
en-cs newstest2017 2319 CU-Chimera.4886 uedin-nmt.4956
en-cs newstest2017 2319 CU-Chimera.4886 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2319 tuning-task-ufal_4gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2319 tuning-task-ufal_4gb.sgm.0 PJATK.4761
en-cs newstest2017 2319 tuning-task-ufal_4gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 2319 CU-Chimera.4886 online-A.0
en-cs newstest2017 2319 CU-Chimera.4886 PJATK.4761
en-cs newstest2017 2319 tuning-task-ufal_4gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2319 CU-Chimera.4886 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2319 CU-Chimera.4886 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 2316 PJATK.4761 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2316 PJATK.4761 CU-Chimera.4886
en-cs newstest2017 2316 PJATK.4761 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 2316 PJATK.4761 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 2317 tuning-task-afrl_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 2317 tuning-task-afrl_4gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 2317 online-B.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 2317 online-B.0 PJATK.4761
en-cs newstest2017 2317 online-B.0 LIUM-NMT.4947
en-cs newstest2017 2317 online-B.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2315 tuning-task-afrl_4gb.sgm.0 online-A.0
en-cs newstest2017 2315 LIUM-FNMT.4852 online-A.0
en-cs newstest2017 2315 LIUM-FNMT.4852 PJATK.4761
en-cs newstest2017 2315 online-B.0 online-A.0
en-cs newstest2017 2315 online-B.0 PJATK.4761
en-cs newstest2017 2315 tuning-task-afrl_4gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2315 LIUM-FNMT.4852 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2315 online-B.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2313 uedin-nmt.4956 CU-Chimera.4886
en-cs newstest2017 2310 tuning-task-ufal_4gb.sgm.0 uedin-nmt.4956
en-cs newstest2017 2310 PJATK.4761 uedin-nmt.4956
en-cs newstest2017 2310 PJATK.4761 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2310 tuning-task-ufal_4gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2310 tuning-task-ufal_4gb.sgm.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 2310 tuning-task-ufal_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 2310 tuning-task-ufal_4gb.sgm.0 limsi-factored-norm.4957
en-cs newstest2017 2310 tuning-task-ufal_4gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 2310 PJATK.4761 LIUM-NMT.4947
en-cs newstest2017 2310 PJATK.4761 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 2310 PJATK.4761 limsi-factored-norm.4957
en-cs newstest2017 2310 PJATK.4761 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 2311 PJATK.4761 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2311 online-B.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2311 PJATK.4761 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 2311 online-B.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 2311 tuning-task-baseline_8gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 2311 PJATK.4761 CU-Chimera.4886
en-cs newstest2017 2311 PJATK.4761 online-B.0
en-cs newstest2017 2311 online-B.0 CU-Chimera.4886
en-cs newstest2017 2311 tuning-task-ufal_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2311 tuning-task-ufal_8gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 2311 PJATK.4761 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 2311 tuning-task-ufal_8gb.sgm.0 CU-Chimera.4886
en-cs newstest2017 2311 tuning-task-ufal_8gb.sgm.0 online-B.0
en-cs newstest2017 2311 tuning-task-baseline_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 2311 PJATK.4761 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 2311 tuning-task-baseline_8gb.sgm.0 CU-Chimera.4886
en-cs newstest2017 298 online-A.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 298 CU-Chimera.4886 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 298 LIUM-NMT.4947 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 298 tuning-task-afrl_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 298 online-A.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 298 CU-Chimera.4886 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 298 tuning-task-ufal_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 298 online-A.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 298 CU-Chimera.4886 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 298 tuning-task-baseline_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 298 online-A.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 298 CU-Chimera.4886 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 298 LIUM-NMT.4947 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 296 uedin-nmt.4956 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 296 uedin-nmt.4956 online-A.0
en-cs newstest2017 296 uedin-nmt.4956 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 296 uedin-nmt.4956 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 296 tuning-task-baseline_8gb.sgm.0 uedin-nmt.4956
en-cs newstest2017 296 LIUM-FNMT.4852 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 296 CU-Chimera.4886 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 296 tuning-task-afrl_8gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 296 LIUM-NMT.4947 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 296 tuning-task-baseline_8gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 296 LIUM-FNMT.4852 online-A.0
en-cs newstest2017 296 CU-Chimera.4886 online-A.0
en-cs newstest2017 296 LIUM-NMT.4947 online-A.0
en-cs newstest2017 296 tuning-task-afrl_8gb.sgm.0 online-A.0
en-cs newstest2017 296 LIUM-FNMT.4852 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 296 CU-Chimera.4886 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 296 tuning-task-afrl_8gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 296 LIUM-NMT.4947 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 296 tuning-task-baseline_8gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 296 LIUM-FNMT.4852 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 296 CU-Chimera.4886 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 296 tuning-task-afrl_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 296 LIUM-NMT.4947 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 296 tuning-task-baseline_8gb.sgm.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 296 tuning-task-baseline_8gb.sgm.0 online-A.0
en-cs newstest2017 296 tuning-task-baseline_8gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 294 online-B.0 PJATK.4761
en-cs newstest2017 294 online-A.0 PJATK.4761
en-cs newstest2017 294 CU-Chimera.4886 PJATK.4761
en-cs newstest2017 294 LIUM-FNMT.4852 PJATK.4761
en-cs newstest2017 294 tuning-task-denisov_4gb.sgm.0 PJATK.4761
en-cs newstest2017 294 tuning-task-denisov_4gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 294 limsi-factored-norm.4957 PJATK.4761
en-cs newstest2017 294 online-B.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 294 online-A.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 294 CU-Chimera.4886 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 294 LIUM-FNMT.4852 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 294 limsi-factored-norm.4957 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 294 online-A.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 294 tuning-task-ufal_4gb.sgm.0 PJATK.4761
en-cs newstest2017 294 LIUM-FNMT.4852 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 294 limsi-factored-norm.4957 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 294 tuning-task-ufal_4gb.sgm.0 tuning-task-baseline_8gb.sgm.0
en-cs newstest2017 295 LIUM-FNMT.4852 online-B.0
en-cs newstest2017 295 LIUM-FNMT.4852 LIUM-NMT.4947
en-cs newstest2017 295 uedin-nmt.4956 online-B.0
en-cs newstest2017 295 uedin-nmt.4956 LIUM-NMT.4947
en-cs newstest2017 295 tuning-task-afrl_4gb.sgm.0 online-B.0
en-cs newstest2017 295 tuning-task-afrl_4gb.sgm.0 LIUM-NMT.4947
en-cs newstest2017 292 online-A.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 292 online-A.0 CU-Chimera.4886
en-cs newstest2017 292 tuning-task-afrl_8gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 292 tuning-task-afrl_8gb.sgm.0 LIUM-FNMT.4852
en-cs newstest2017 292 tuning-task-afrl_8gb.sgm.0 CU-Chimera.4886
en-cs newstest2017 292 online-A.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 292 tuning-task-afrl_8gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 293 LIUM-NMT.4947 PJATK.4761
en-cs newstest2017 293 LIUM-NMT.4947 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 293 PJATK.4761 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 293 LIUM-NMT.4947 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 293 tuning-task-denisov_4gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 290 LIUM-NMT.4947 uedin-nmt.4956
en-cs newstest2017 290 limsi-factored-norm.4957 uedin-nmt.4956
en-cs newstest2017 290 LIUM-NMT.4947 online-A.0
en-cs newstest2017 290 limsi-factored-norm.4957 online-A.0
en-cs newstest2017 290 LIUM-FNMT.4852 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 290 LIUM-NMT.4947 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 290 limsi-factored-norm.4957 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 290 LIUM-FNMT.4852 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 290 LIUM-NMT.4947 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 290 limsi-factored-norm.4957 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 291 online-B.0 PJATK.4761
en-cs newstest2017 291 online-B.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 587 online-A.0 tuning-task-denisov_4gb.sgm.0
en-cs newstest2017 270 LIUM-NMT.4947 uedin-nmt.4956
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 uedin-nmt.4956
en-cs newstest2017 270 tuning-task-baseline_8gb.sgm.0 uedin-nmt.4956
en-cs newstest2017 270 LIUM-NMT.4947 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 270 LIUM-NMT.4947 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 270 tuning-task-baseline_8gb.sgm.0 tuning-task-ufal_4gb.sgm.0
en-cs newstest2017 270 CU-Chimera.4886 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 270 LIUM-NMT.4947 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 270 LIUM-NMT.4947 online-A.0
en-cs newstest2017 270 LIUM-NMT.4947 PJATK.4761
en-cs newstest2017 270 LIUM-NMT.4947 online-B.0
en-cs newstest2017 270 LIUM-NMT.4947 LIUM-FNMT.4852
en-cs newstest2017 270 CU-Chimera.4886 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 270 LIUM-NMT.4947 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 270 tuning-task-baseline_8gb.sgm.0 tuning-task-ufal_8gb.sgm.0
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 tuning-task-afrl_4gb.sgm.0
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 tuning-task-afrl_8gb.sgm.0
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 online-A.0
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 PJATK.4761
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 LIUM-FNMT.4852
en-cs newstest2017 270 tuning-task-denisov_4gb.sgm.0 online-B.0
